نوع البطولة,وقت المبارات,فريق الاول,فريق الثاني,النتيجة
تصفيات أمم إفريقيا,16:00,كينيا,الكاميرون,0-1
تصفيات أمم إفريقيا,17:00,جامبيا,مدغشقر,1-0
تصفيات أمم إفريقيا,19:00,ليبيريا,غينيا الاستوائية,1-2
تصفيات أمم إفريقيا,19:00,توجـــو,الجزائر,0-1
تصفيات أمم إفريقيا,19:00,زيمبابوي,ناميبيا,3-1
تصفيات أمم إفريقيا,22:00,إيسواتيني,موزمبيق,0-3
الدوري المصري الممتاز - سيدات,16:00,زد,الزمالك,0-3
بطولة إفريقيا للأندية لكرة اليد,17:00,فرند شيب,كيركوس,29-25
بطولة إفريقيا للأندية لكرة اليد,19:00,آسفا,ميشال سبور,43-23
بطولة إفريقيا للأندية لكرة اليد,21:00,الزمالك,منتدى درب سلطان,32-21
بطولة إفريقيا للأندية لكرة اليد,23:00,أدجيدجا,وداد السمارة,24-25
دوري القسم الثاني-أ,16:00,المنصورة,السكة الحديد,0-1
دوري القسم الثاني-أ,16:00,بترول أسيوط,المصرية للاتصالات,1-1
دوري القسم الثاني-أ,16:00,ديروط,الترسانة,1-1
دوري القسم الثاني-أ,16:00,أسوان,كهرباء الإسماعيلية,0-0
دوري القسم الثاني-أ,18:00,وادي دجلة,لافيينا أف سي,0-0
دوري الأمم الأوروبية,19:00,جورجيا,ألبانيا,0-1
دوري الأمم الأوروبية,19:00,إذربيجان,سلوفاكيا,1-3
دوري الأمم الأوروبية,21:45,أيسلندا,تركيا,2-4
دوري الأمم الأوروبية,21:45,ويلز,الجبل الأسود,1-0
دوري الأمم الأوروبية,21:45,أوكرانيا,التشيك,1-1
دوري الأمم الأوروبية,21:45,إستونيا,السويد,0-3
دوري الأمم الأوروبية,21:45,بلجيكا,فرنسا,1-2
دوري الأمم الأوروبية,21:45,البوسنة والهرسك,المجر,0-2
دوري الأمم الأوروبية,21:45,إيطاليا,الكيان الصهيوني,4-1
دوري الأمم الأوروبية,21:45,ألمانيا,هولندا,1-0
